host: server1, empl_id: 024839, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/8/12 15:48:01:837 MST]
host: server1, empl_id: 030143, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/8/12 15:50:11:860 MST]
host: server1, empl_id: 030143, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/8/12 15:50:11:892 MST]
host: server1, empl_id: 036243, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/8/12 15:51:28:906 MST]
host: server1, empl_id: 036243, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/8/12 15:51:28:946 MST]
host: server1, empl_id: 015801, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/8/12 15:59:05:461 MST]
host: server1, empl_id: 015801, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/8/12 15:59:05:573 MST]
host: server1, empl_id: 015801, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/8/12 15:59:05:591 MST]
host: server1, empl_id: 015801, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/8/12 15:59:05:652 MST]
host: server1, empl_id: 030318, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/8/12 16:00:44:109 MST]
host: server1, empl_id: 030318, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/8/12 16:00:44:449 MST]
host: server1, empl_id: 036431, dest: REQUEST_SYSTEM, doc_types: PDF, date_time: [2/8/12 16:00:59:158 MST]
host: server1, empl_id: 028365, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/8/12 16:02:50:716 MST]
host: server1, empl_id: 031838, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/8/12 16:06:21:535 MST]
host: server1, empl_id: 031838, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/8/12 16:06:21:566 MST]
host: server1, empl_id: 029769, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/8/12 16:08:43:222 MST]
host: server1, empl_id: 029769, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/8/12 16:08:43:520 MST]
host: server1, empl_id: 030738, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL, date_time: [2/8/12 16:09:42:631 MST]
host: server1, empl_id: 030738, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL, date_time: [2/8/12 16:09:42:652 MST]
host: server1, empl_id: 019971, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 16:10:23:070 MST]
host: server1, empl_id: 019971, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 16:10:23:095 MST]
host: server1, empl_id: 019971, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 16:10:23:129 MST]
host: server1, empl_id: 031838, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/8/12 16:10:31:301 MST]
host: server1, empl_id: 031838, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/8/12 16:10:31:354 MST]
host: server1, empl_id: 019971, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 17:12:08:161 MST]
host: server1, empl_id: 019971, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 17:12:08:354 MST]
host: server1, empl_id: 019971, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 17:12:08:945 MST]
host: server1, empl_id: 021030, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 17:20:16:073 MST]
host: server1, empl_id: 021030, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 17:20:16:092 MST]
host: server1, empl_id: 021030, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/8/12 17:20:16:135 MST]
